2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: ajaxListUsingGET_4
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: ajaxListUsingPOST_4
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: batchDeleteUsingPOST_3
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: deleteUsingPOST_4
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: listUsingGET_5
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: addUsingPOST_3
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: addUsingGET_3
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: ajaxListUsingGET_5
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: ajaxListUsingPOST_5
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: batchDeleteUsingPOST_4
2019-06-30 22:16:01 [ INFO ] [ SizeAnnotationPlugin.java :52(apply)]  searching for @size: false
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: deleteUsingPOST_5
2019-06-30 22:16:01 [ INFO ] [ CachingOperationNameGenerator.java :40(startingWith)]  Generating unique operation named: listUsingGET_6
